regime,model,label,roi_mae,roi_rank_corr,share_mae,coverage_90,r2_in_sample,nrmse_cv,negative_coefs,predicted_uplift_weekly,realised_uplift_weekly,regret_weekly
R,ols,M0 OLS,2.919178058887471,0.48571428571428577,0.3589940214833187,,0.9219271894532385,0.14740988055430598,2.0,35793.1636591483,-1749.4194322857074,12814.424037980847
R,ridge,M1 ridge,3.213754553385924,0.5797710356524484,0.14367860892905465,,0.9281038373707988,0.11090214634082435,,18155.34384053081,-1711.5820818481152,12776.586687543255
R,bayes,M2 Bayes,1.2344628078896756,0.3142857142857143,0.06332311716203624,0.8333333333333334,0.9271622777560128,,,10055.936027547024,3443.186718286568,7621.817887408572
R,bayes_calibrated,M3 Bayes + lift,1.1390310526529628,0.5428571428571429,0.05697807826655266,0.8333333333333334,0.9271231650832414,,,10308.312258768914,3696.5333112639782,7368.471294431161
